date,description,earnings,job_title,job_type,link,text,title
2022-09-08 17:28,"
        
We are looking for candidates to add to our marketing team. Ingles y Español
Part-time and full-time positions available

Calificaciones:
Buen voz por telefono con poco o nade de acento /  great phone presence
Competene en Ingles y Español (escrito y hablado)Proficient in both English & Spanish
Experiencia en telemarketing y programas de Microsoft
Abilidad de trabajar independiente
Motivado y Energetico

Requisitos
Conection de internet rapido y confiable de minimum 25mbps
Medio ambiente con poca distracion y poco ruido
Una computadora confiable con procesor de 8GB de RAM
Audifonos para computadora (si no lo tiene nosotros podemos asistir)
Uso de Whatsapp

Nosotros Proveemos:
Entrenamiento, escritura, audifonos (si es necesario), software
    ",Fixed plus bonuses,Outbound Calls (telemarketing),tiempo completo,https://costarica.craigslist.org/sls/d/telemarketing/7531568837.html,Telemarketing,Telemarketing
2022-09-07 15:54,"
        
Looking for sales person to qualify cold leads to warm 

We provide you leads and you would be fronting the lead 

We are based out of Miami Florida and provide businesses with working capital. 

We will offer up to 5-7 dollars an hour and rate is subject to change based on positive performance. 

We will provide training and CRM/ phone access. 

Candidate must have phone experience and speak very good English.
    ",5-7 hourly,Sales Fronter,tiempo completo,https://costarica.craigslist.org/sls/d/sales-fronter/7531124505.html,Sales Fronter,Sales Fronter
2022-09-07 16:25,"
        
Sales on sweeps......make money by commission 40% after the first is 30%. if you speak English contact through this e-mail or call people are interested only. No drama, responsability is a request!
    ",40% open %40,Openers,tiempo parcial,https://costarica.craigslist.org/sls/d/openers-and-closers/7531136218.html,$$$$$$$openers and closers $$$$$$$,$$$$$$$openers and closers $$$$$$$
2022-09-06 15:55,"
        
PART TIME OPPORTUNITY FOR ADVANCED ENGLISH/NATIVE SPEARKERS

STARTING PAY RATE:
3400-4200 colones/hr
*opportunity to increase after 6 months.

YOU HAVE:
- Excellent interpersonal and teaching skills.
- Strong network connectivity.
- Video Call Equipment.

*Prior teaching experience, highly preferable.

WE OFFER:
- Adaptable schedules.
- No exams, quizzes nor time consuming class planning.

WE HAVE OUR OWN PROGRAM, RESOURCES AND PREPARED CLASSES, YOU WILL RECEIVE TRAINING BEFORE STARTING. JOIN OUR GROWING COMMUNITY AND HELP OTHERS GROW!
    ",3400-4200 colones/hr *opportunity to increase after 6 months.,Online English Teachers,tiempo parcial,https://costarica.craigslist.org/edu/d/part-time-opportunity-for-advanced/7530711497.html,PART TIME OPPORTUNITY FOR ADVANCED ENGLISH/NATIVE SPEARKERS,PART TIME OPPORTUNITY FOR ADVANCED ENGLISH/NATIVE SPEARKERS
2022-09-08 09:55,"
        
We are looking the best Telesales:

Requirements:

1. Fully Bilingual.
2. 1 year of experience -desirable-
3. Knowledge in Technical Support - desirable -

Be part of a great company!
    ",A convenir,Telesales Representative,tiempo completo,https://costarica.craigslist.org/sls/d/telesales-billingue/7531362481.html,Telesales Billingue,Telesales Billingue
2022-09-07 02:23,"
        
This position performs outbound calls to potential customers to qualify them as sales lead for licensed agents or senior brokers.

Hours: Monday - Friday 9 am - 6 pm Eastern time (Florida, USA). This is a full-time position. Weekends OFF.
    ",USD $3.50-$4 hourly +Commissions + Overtime pay up to $800/month,Call Center Agent- Lead Qualifier- Remote Job,tiempo completo,https://costarica.craigslist.org/csr/d/call-center-agent-lead-qualifier-remote/7530837707.html,CALL CENTER AGENT- LEAD QUALIFIER (REMOTE JOB),CALL CENTER AGENT- LEAD QUALIFIER (REMOTE JOB)
2022-09-07 14:47,"
        
Travel and stay free at a paradise destination like Uvita Osa, Costa Rica

Looking for Photographer, content creator, and light construction.
    ",Room in a prime location,"Looking for Photographer, content creator, and li",tiempo parcial,https://costarica.craigslist.org/npo/d/volunteer-in-uvita-for-free-stay/7526255671.html,Volunteer in Uvita for a free stay.,Volunteer in Uvita for a free stay.
2022-09-07 09:23,"
        
If you are an English-Speaking experienced sales professional with previous experience selling products or services to the governments of Central America, this may be an opportunity you won't want to miss. Morcom International, Inc. is a leading supplier of aviation and weather information systems. With more than 30 years in the market, Morcom specializes in the design, installation, and support of wireless telecommunications systems, airport communications, port communications, and meteorological information systems. 

JOB DESCRIPTION 
We are currently seeking candidates for a position of Commercial Sales Channel for Central America. The selected candidate will work out of Costa Rica and visit our customers throughout Central America and Panama to prospect for sales opportunities, make presentations, prepare proposals, and close business deals with government and civil aviation authorities of the region. You will spend a few days every year in our main office in Washington D.C. to receive training on the product line and services we provide. This job requires frequent travelling and keeping up to date with the customers current needs. 

REQUIRED SET OF SKILLS 
• Knowledge of communications systems 
• Strong business development background 
• Ability to quickly learn new skills 
• Good with customers (likeable/outgoing) 
• Knowledge of MS Office applications (Word and Excel) 
• Command of the English language

OTHER REQUIREMENTS 
• Previous experience in civil aviation applications a plus 
• Degree in engineering is also a plus 

The company has an established a Central American presence and needs to expand its focus on Business to Government sales. Compensation will be commensurate with experience and will consist of a base salary plus commissions. Position is open to men or women meeting all of the required set of skills and with immediate availability. Reply by E-Mail through Craig’s List or by fax at  
.
    ",Commesurate with experience,Central America - Account Manager,contrato,https://costarica.craigslist.org/sls/d/if-you-are-an-english-speaking/7530924727.html,If you are an English-Speaking experienced sales pro - Central America,If you are an English-Speaking experienced sales pro - Central America
2022-09-07 09:22,"
        
Job Description: 
•Contact potential Clients to generate new connections. 
•Amplify a brand's database with new contacts that could become potential clients of their products or services.

Requirements: 
•Advanced English.
•Basic/intermediate Excel skills. 

Experience:
•Customer service and sales (not mandatory)

Other details:
Hybrid Work: benefit according to performance 
Location: Oficentro Plaza Aeropuerto. 
Academic background: High School Diploma (Noveno+) 
Computer skills: beginner/intermediate (Proficient with Excel, Outlook and others; navigate on the internet and use of different apps).
Languages: English (B2+, C1, C2 or Native)
    ",$6 per hour,Lead Generator,tiempo completo,https://costarica.craigslist.org/csr/d/looking-for-lead-generators/7530931290.html,Looking for Lead Generators,Looking for Lead Generators
2022-09-06 19:23,"
        
Hello, would like to meet an Asian women here in CR. Someone nice, attractive good person. For friendship or more, marriage? I am a guy from the US in 50's, in shape, profesional.
Thanks!! Be nice to meet you
    ",my heart,Life friend,tiempo completo,https://costarica.craigslist.org/lab/d/looking-for-an-asian-female/7525367919.html,Looking for an Asian Female,Looking for an Asian Female
